a	a1
ai	aj1
am	am1
an	an1
ang	aNG1
anh	EXNJ1
ao	aw1
ap	ap1
au	aXw1
ba	b a1
bai	b aj1
ban	b an1
bang	b aNG1
banh	b EXNJ1
bao	b aw1
bay	b aXj1
be	b E1
bem	b Em1
ben	b En1
beng	b ENG1
beo	b Ew1
bi	b i1
bia	b ie1
bin	b in1
binh	b iNJ1
biên	b ien1
biêng	b ieNG1
biếc	b iek5
biếm	b iem5
biến	b ien5
biếng	b ieNG5
biết	b iet5
biếu	b iew5
biền	b ien2
biển	b ien3
biểu	b iew3
biện	b ien6
biệt	b iet6
bo	b O1
bom	b Om1
bon	b On1
bong	b OXNG1
boong	b ONG1
boóng	b ONG5
bu	b u1
bua	b uo1
bung	b uNG1
buôn	b uon1
buông	b uoNG1
buýt	b wit5
buốt	b uot5
buồi	b uoj2
buồm	b uom2
buồn	b uon2
buồng	b uoNG2
buổi	b uoj3
buộc	b uok6
buột	b uot6
bà	b a2
bài	b aj2
bàm	b am2
bàn	b an2
bàng	b aNG2
bành	b EXNJ2
bào	b aw2
bàu	b aXw2
bày	b aXj2
bá	b a5
bác	b ak5
bách	b EXk5
bái	b aj5
bám	b am5
bán	b an5
báng	b aNG5
bánh	b EXNJ5
báo	b aw5
bát	b at5
báu	b aXw5
bân	b 7Xn1
bâng	b 7XNG1
bâu	b 7Xw1
bây	b 7Xj1
bã	b a4
bãi	b aj4
bão	b aw4
bè	b E2
bèm	b Em2
bèn	b En2
bèo	b Ew2
bé	b E5
béc	b Ek5
bén	b En5
béng	b ENG5
béo	b Ew5
bép	b Ep5
bét	b Et5
bê	b e1
bên	b en1
bênh	b eNJ1
bêu	b ew1
bì	b i2
bìa	b ie2
bìm	b im2
bình	b iNJ2
bìu	b iw2
bí	b i5
bích	b ik5
bím	b im5
bính	b iNJ5
bít	b it5
bíu	b iw5
bò	b O2
bòi	b Oj2
bòm	b Om2
bòn	b On2
bòng	b OXNG2
bó	b O5
bóc	b OXk5
bói	b Oj5
bón	b On5
bóng	b OXNG5
bóp	b Op5
bót	b Ot5
bô	b o1
bôi	b oj1
bôm	b om1
bôn	b on1
bông	b oNG1
bõ	b O4
bõm	b Om4
bõng	b OXNG4
bù	b u2
bùa	b uo2
bùi	b uj2
bùm	b um2
bùn	b un2
bùng	b uNG2
bú	b u5
búa	b uo5
búi	b uj5
bún	b un5
búng	b uNG5
búp	b up5
bút	b ut5
băm	b aXm1
băn	b aXn1
băng	b aXNG1
bĩ	b i4
bĩnh	b iNJ4
bĩu	b iw4
bũm	b um4
bơ	b 71
bơi	b 7j1
bơm	b 7m1
bơn	b 7n1
bư	b M1
bưa	b M71
bưng	b MNG1
bưu	b Mw1
bươi	b M7j1
bươm	b M7m1
bươn	b M7n1
bương	b M7NG1
bươu	b M7w1
bước	b M7k5
bướm	b M7m5
bướng	b M7NG5
bướp	b M7p5
bướu	b M7w5
bưởi	b M7j3
bượt	b M7t6
bạ	b a6
bạc	b ak6
bạch	b EXk6
bại	b aj6
bạn	b an6
bạnh	b EXNJ6
bạo	b aw6
bạp	b ap6
bạt	b at6
bạu	b aXw6
bả	b a3
bải	b aj3
bản	b an3
